run_id,cn_file,INP_count_recomputed,INP_count_ice,INP_count_abs_diff,INP_count_rel_diff_display,INP_cn_0_recomputed,INP_cn_0_ice,INP_cn_0_abs_diff,INP_cn_0_rel_diff_display,INP_cn_flush_recomputed,INP_cn_flush_ice,INP_cn_flush_abs_diff,INP_cn_flush_rel_diff_display,dt_inferred_s,t_flush_s,t_exp_s,flow_flush_mean,flow_exp_mean
1,D:\Download\PINE-07-06\20260410_test\L1_Data\exportdata\exportdata_cn\OP1\PINE-07-06_20260410_test_op_id_1_run_id_1_cn.txt,0.0,0.0,0.0,NA(denominator=0),0.0,0.0,0.0,NA(denominator=0),0.0,0.0,0.0,NA(denominator=0),3.0,222.0,54.0,2.5101351351351346,3.142222222222222
2,D:\Download\PINE-07-06\20260410_test\L1_Data\exportdata\exportdata_cn\OP1\PINE-07-06_20260410_test_op_id_1_run_id_2_cn.txt,0.0,0.0,0.0,NA(denominator=0),0.0,0.0,0.0,NA(denominator=0),0.0,0.0,0.0,NA(denominator=0),3.0,222.0,54.0,2.5101351351351346,3.141111111111111
3,D:\Download\PINE-07-06\20260410_test\L1_Data\exportdata\exportdata_cn\OP1\PINE-07-06_20260410_test_op_id_1_run_id_3_cn.txt,1.0,1.0,0.0,0.000000,0.35217467864060575,0.352,0.00017467864060577432,0.049625,0.0,0.0,0.0,NA(denominator=0),3.0,222.0,54.0,2.5099999999999993,3.155
4,D:\Download\PINE-07-06\20260410_test\L1_Data\exportdata\exportdata_cn\OP1\PINE-07-06_20260410_test_op_id_1_run_id_4_cn.txt,6.0,6.0,0.0,0.000000,2.0979020979020975,2.098,9.790209790239146e-05,0.004666,0.0,0.0,0.0,NA(denominator=0),3.0,222.0,54.0,2.5099999999999993,3.177777777777778
5,D:\Download\PINE-07-06\20260410_test\L1_Data\exportdata\exportdata_cn\OP1\PINE-07-06_20260410_test_op_id_1_run_id_5_cn.txt,41.0,41.0,0.0,0.000000,14.099037138927097,14.098,0.001037138927095782,0.007357,0.0,0.0,0.0,NA(denominator=0),3.0,222.0,54.0,2.5102702702702695,3.2311111111111117
6,D:\Download\PINE-07-06\20260410_test\L1_Data\exportdata\exportdata_cn\OP1\PINE-07-06_20260410_test_op_id_1_run_id_6_cn.txt,76.0,76.0,0.0,0.000000,25.889967637540455,25.887,0.002967637540454149,0.011464,0.0,0.0,0.0,NA(denominator=0),3.0,222.0,54.0,2.5102702702702695,3.2616666666666667
7,D:\Download\PINE-07-06\20260410_test\L1_Data\exportdata\exportdata_cn\OP1\PINE-07-06_20260410_test_op_id_1_run_id_7_cn.txt,159.0,159.0,0.0,0.000000,53.55338497810711,53.571,0.017615021892886773,0.032882,0.0,0.0,0.0,NA(denominator=0),3.0,222.0,54.0,2.5099999999999993,3.2988888888888885
8,D:\Download\PINE-07-06\20260410_test\L1_Data\exportdata\exportdata_cn\OP1\PINE-07-06_20260410_test_op_id_1_run_id_8_cn.txt,491.0,491.0,0.0,0.000000,163.99465597862394,164.013,0.018344021376066166,0.011184,0.0,0.0,0.0,NA(denominator=0),3.0,222.0,54.0,2.51027027027027,3.3266666666666667
9,D:\Download\PINE-07-06\20260410_test\L1_Data\exportdata\exportdata_cn\OP1\PINE-07-06_20260410_test_op_id_1_run_id_9_cn.txt,68.0,68.0,0.0,0.000000,22.980736735383573,22.985,0.004263264616426454,0.018548,0.0,0.0,0.0,NA(denominator=0),3.0,222.0,54.0,2.510405405405405,3.287777777777778
10,D:\Download\PINE-07-06\20260410_test\L1_Data\exportdata\exportdata_cn\OP1\PINE-07-06_20260410_test_op_id_1_run_id_10_cn.txt,1.0,1.0,0.0,0.000000,0.35063113604488083,0.351,0.0003688639551191475,0.105089,0.0,0.0,0.0,NA(denominator=0),3.0,222.0,54.0,2.511081081081081,3.1688888888888886
11,D:\Download\PINE-07-06\20260410_test\L1_Data\exportdata\exportdata_cn\OP1\PINE-07-06_20260410_test_op_id_1_run_id_11_cn.txt,0.0,0.0,0.0,NA(denominator=0),0.0,0.0,0.0,NA(denominator=0),0.21532001937880177,0.215,0.00032001937880177245,0.148846,3.0,222.0,54.0,2.5104054054054052,3.16
12,D:\Download\PINE-07-06\20260410_test\L1_Data\exportdata\exportdata_cn\OP1\PINE-07-06_20260410_test_op_id_1_run_id_12_cn.txt,2.0,2.0,0.0,0.000000,0.7034822370735138,0.703,0.00048223707351380263,0.068597,0.0,0.0,0.0,NA(denominator=0),3.0,222.0,54.0,2.5099999999999993,3.1588888888888893
13,D:\Download\PINE-07-06\20260410_test\L1_Data\exportdata\exportdata_cn\OP1\PINE-07-06_20260410_test_op_id_1_run_id_13_cn.txt,3.0,3.0,0.0,0.000000,1.0518934081346425,1.052,0.0001065918653575526,0.010132,0.0,0.0,0.0,NA(denominator=0),3.0,222.0,54.0,2.5101351351351346,3.1688888888888886
14,D:\Download\PINE-07-06\20260410_test\L1_Data\exportdata\exportdata_cn\OP1\PINE-07-06_20260410_test_op_id_1_run_id_14_cn.txt,17.0,17.0,0.0,0.000000,5.898681471200555,5.899,0.0003185287994451613,0.005400,0.0,0.0,0.0,NA(denominator=0),3.0,222.0,54.0,2.5099999999999993,3.2022222222222223
